"","category_revision2","operationalisation","bibtexkey","author","title","year","category"
"14","excluded"," Three other items assessed in a similar fashion how acceptable, suitable, and <U+FB01>tting the behaviour would be. ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","acceptibility"
"19","excluded"," ‘How acceptable would it be for you to drink double the recommended limit or more than this on any one occasion in the next two weeks?’ (completely unacceptable [1] to completely acceptable [7]) ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","acceptibility"
"214","excluded","“Generally speaking, I think it is appropriate for me as a student enrolled in PYB110 to . . . ” ","2011-19081-00920110601","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011","appropriateForMe"
"223","excluded"," “Generally speaking, I think it is appropriate for me as a student enrolled in bachelor of social science (psychology) to attend every peer-assisted study session for 1st-year statistics this semester” ","2008-12902-00520080801","White, Katherine M. and Thomas, Ian and Johnston, Kim L. and Hyde, Melissa K.","Predicting attendance at peer-assisted study sessions for statistics: Role identity and the theory of planned behavior.","2008","appropriateForMe"
"273","excluded","‘My feeling of being unique, distinct from others’","wang2017role","Wang, Suosheng and Wu, Lingfei and Lee, Soonhwan","Role of dispositional aspects of self-identity in the process of planned behavior of outbound travel","2017","beingUnique"
"308","excluded","“I firmly believe in the idea of GFBs” ","wang2016psychological","Wang, Yao-Fen and Wang, Yao-Fen and Wang, Chung-Jen and Wang, Chung-Jen","Do psychological factors affect green food and beverage behaviour? An application of the theory of planned behaviour","2016","believeIn"
"42","excluded"," My consumption is identical with my characteristics.","2014-14302-00820140501","Oh, Jong-Chul and Yoon, Sung-Joon","Theory-based approach to factors affecting ethical consumption.","2014","characteristics"
"336","excluded","I never read the list of ingredients on the label before using a new personal care product. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","domainSpecific"
"337","excluded"," I always read the list of ingredients on the label before using a new personal care product. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","domainSpecific"
"99","excluded"," ‘I would be embarrassed to be seen as having an environmentallyfriendly lifestyle’ ","2010-03425-00120100901","Whitmarsh, Lorraine and O'Neill, Saffron","Green identity, green living? The role of pro-environmental self-identity in determining consistency across diverse pro-environmental behaviours.","2010","embarrassed"
"60","excluded"," (1) that fitted the way they wanted to live, ","2012-23507-00920121101","de Bruijn, Gert-Jan and Verkooijen, Kirsten and de Vries, Nanne K. and van den Putte, Bas","Antecedents of self identity and consequences for action control: An application of the theory of planned behaviour in the exercise domain.","2012","howIWantToLive"
"72","excluded","‘‘Engaging in sufficient exercise is something that fits the way I want to live’’ ","2012-11628-00820120701","de Bruijn, Gert-Jan and van den Putte, Bas","Exercise promotion: An integration of exercise self-identity, beliefs, intention, and behaviour.","2012","howIWantToLive"
"109","excluded"," “Quitting smoking within the next 3 months fits with how I want to live” ","2009-14439-00420090901","van den Putte, Bas and Yzer, Marco and Willemsen, Marc C. and de Bruijn, Gert-Jan","The effects of smoking self-identity and quitting self-identity on attempts to quit smoking.","2009","howIWantToLive"
"111","excluded"," “Smoking fits with how I want to live”","2009-14439-00420090901","van den Putte, Bas and Yzer, Marco and Willemsen, Marc C. and de Bruijn, Gert-Jan","The effects of smoking self-identity and quitting self-identity on attempts to quit smoking.","2009","howIWantToLive"
"372","excluded","Engaging in physical exercise is something that (1) fits the way I want to live ","verkooijen2013exercise","Verkooijen, Kirsten T and de Bruijn, Gert-Jan","Exercise self-identity: Interactions with social comparison and exercise behaviour","2013","howIWantToLive"
"153","excluded","“For you personally, how important is blood donation?‘ ","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","important"
"217","excluded"," As a student enrolled in PYB110, I think it is important for me to . . . ","2011-19081-00920110601","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011","important"
"219","excluded"," The first four items were scored strongly disagree [1] to strongly agree [7] and the last item was scored very unimportant [1] to very important [7]","2011-19081-00920110601","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011","important"
"226","excluded"," “As a student enrolled in bachelor of social science (psychology), I think it is important for me to attend every peer-assisted study session for 1st-year statistics this semester.”","2008-12902-00520080801","White, Katherine M. and Thomas, Ian and Johnston, Kim L. and Hyde, Melissa K.","Predicting attendance at peer-assisted study sessions for statistics: Role identity and the theory of planned behavior.","2008","important"
"344","excluded"," I think it is important to buy organic products in order to protect the environment. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","important"
"345","excluded"," I think it is important to buy organic products in order to protect myself and loved ones. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","important"
"211","excluded","Donation is important to me ","2015-03853-00120150801","Bagot, Kathleen L. and Masser, Barbara M. and White, Katherine M.","Using an extended theory of planned behavior to predict a change in the type of blood product donated.","2015","importantToMe"
"328","excluded"," “Blood donation is important to me,” ","masser2009predicting","Masser, Barbara M and White, Katherine M and Hyde, Melissa K and Terry, Deborah J and Robinson, Natalie G","Predicting blood donation intentions and behavior among Australian blood donors: testing an extended theory of planned behavior model","2009","importantToMe"
"330","excluded","“Blood donation is important to me” (not at all to a great deal) ","mcmahon2008predicting","McMahon, Roz and Byrne, Molly","Predicting donation among an Irish sample of donors and nondonors: extending the theory of planned behavior","2008","importantToMe"
"338","excluded"," It is important to me that my personal care products are branded with an eco-label such as the Flower, the Nordic Swan or Eco-Cert ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","importantToMe"
"339","excluded"," It is not important to me that my personal care products are branded with an eco-label such as the Flower, the Nordic Swan or Eco-Cert. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","importantToMe"
"354","excluded","Blood donation is important to me,” ","masser2012predicting","Masser, Barbara M and Bednall, Timothy C and White, Katherine M and Terry, Deborah","Predicting the retention of first-time donors using an extended Theory of Planned Behavior","2012","importantToMe"
"39","excluded","My consumption is identical with my lifestyle. ","2014-14302-00820140501","Oh, Jong-Chul and Yoon, Sung-Joon","Theory-based approach to factors affecting ethical consumption.","2014","lifestyle"
"35","excluded","I will study hard for the ethics courses ","2013-29017-00120140901","Cheng, Pi-Yueh and Chu, Mei-Chin","Behavioral factors affecting students’ intentions to enroll in business ethics courses: A comparison of the theory of planned behavior and social cognitive theory using self-identity as a moderator.","2014","miscellaneous"
"141","excluded","To what extent does trying to get more information about a medication for an advertised antiarthritic prescription medicine from each of the following sources during the next six weeks affect you’’ (‘‘1 Z does not affect’’ and‘‘7 Z does affect’’) ","2006-20717-00720050601","Liu, Yifei and Doucette, William R. and Farris, Karen B. and Nayakankuppam, Dhananjay","Drug information-seeking intention and behavior after exposure to direct-to-consumer advertisement of prescription drugs.","2005","miscellaneous"
"142","excluded"," ‘‘Quite frankly, I don’t care about trying to get more information about a medication for an advertised antiarthritic prescription medicine from each of the following sources during the next six weeks’’ (‘‘1 Z strongly disagree’’ and ""‘7 Z strongly agree’’)","2006-20717-00720050601","Liu, Yifei and Doucette, William R. and Farris, Karen B. and Nayakankuppam, Dhananjay","Drug information-seeking intention and behavior after exposure to direct-to-consumer advertisement of prescription drugs.","2005","miscellaneous"
"155","excluded"," “To what extent does blood donation affect you personally?” ","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","miscellaneous"
"157","excluded"," “Quite frankly, I don’t care about blood donation” ","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","miscellaneous"
"177","excluded"," “Drink- ing alcohol is a normal part of everyday life.” ","1999-15251-00519990801","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999","miscellaneous"
"245","excluded"," “I have numerous goals related to healthy eating”","doi:10.1108/NFS-06-2014-0055","Amanda M Brouwer and Katie E. Mosack","Expanding the theory of planned behavior to predict healthy eating behaviors: Exploring a healthy eater identity","2015","miscellaneous"
"257","excluded"," I really do not have any clear feelings about dietary supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","miscellaneous"
"284","excluded"," “I have numerous goals related to healthy eating/ eating fruit/ eating vegetables” ","jenkins2015motivating","JENKINS, Amy","Motivating Fruit and Vegetable Consumption Using Self-Identity","2015","miscellaneous"
"309","excluded"," “I involve in GFB actions” ","wang2016psychological","Wang, Yao-Fen and Wang, Yao-Fen and Wang, Chung-Jen and Wang, Chung-Jen","Do psychological factors affect green food and beverage behaviour? An application of the theory of planned behaviour","2016","miscellaneous"
"317","excluded"," It is part of my life to seek microcredits ","jebarajakirthy2014war","Jebarajakirthy, Charles and Lobo, Antonio C","War affected youth as consumers of microcredit: an application and extension of the theory of planned behaviour","2014","miscellaneous"
"321","excluded"," Green products are a part of my lifestyle.","hampredicting","Ham, Marija and {\v{S}}timac, Helena and Pap, Ana and Oec, Mag","PREDICTING THE INTENTION TO PURCHASE GREEN FOOD IN CROATIA--THE INFLUENCE OF PERCIEVED SELF-IDENTITY",NA,"miscellaneous"
"331","excluded"," “The issue of blood donation is...”(not relevant to me torelevant to me) ","mcmahon2008predicting","McMahon, Roz and Byrne, Molly","Predicting donation among an Irish sample of donors and nondonors: extending the theory of planned behavior","2008","miscellaneous"
"341","excluded"," Unless each of us recognizes the need to protect the environment, future generations will suffer the consequences. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","miscellaneous"
"346","excluded"," The environment is one of the most important issues facing society today","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","miscellaneous"
"371","excluded"," “Drink- ing alcohol is a normal part of everyday life.”","conner1999alcohol","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behaviorid","1999","miscellaneous"
"119","excluded"," ‘I wouldn’t like other people to see me as the sort of woman who would breastfeed’ ","2008-12608-00220081001","McMillan, Brian and Conner, Mark and Woolridge, Mike and Dyson, Lisa and Green, Josephine and Renfrew, Mary and Bharj, Kuldip and Clarke, Graham","Predicting breastfeeding in women living in areas of economic hardship: Explanatory role of the theory of planned behaviour.","2008","perceivedProjectedImage"
"120","excluded"," ‘I wouldn’t like other people to see me as the sort of woman who would bottle feed’","2008-12608-00220081001","McMillan, Brian and Conner, Mark and Woolridge, Mike and Dyson, Lisa and Green, Josephine and Renfrew, Mary and Bharj, Kuldip and Clarke, Graham","Predicting breastfeeding in women living in areas of economic hardship: Explanatory role of the theory of planned behaviour.","2008","perceivedProjectedImage"
"353","excluded"," ‘Others might see me as a couch potato’","jackson2003applying","JACKSON, CATH and SMITH, ANDREW and CONNER, MARK","Applying an extended version of the theory of planned behaviour to physical activity","2003","perceivedProjectedImage"
"51","excluded"," “I separate my waste because I want to feel that I personally contribute to reducing air pollution”","2013-27374-00520130901","Barata, Raquel and Castro, Paula","'I feel recycling matters… sometimes': The negative influence of ambivalence on waste separation among teenagers.","2013","personal"
"158","excluded"," “The issues of blood donation is . . . (not personally relevant-personally relevant)” ","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","personal"
"276","excluded","Participants were asked to respond to a series of statements relating to personal (e.g., ","hagger2007aspects","Hagger, Martin S and Anderson, Melissa and Kyriakaki, Maria and Darkings, Sandra","Aspects of identity and their influence on intentional behavior: Comparing effects for three health behaviors","2007","personal"
"278","excluded"," ‘‘My personal goals and hopes for the future’’) ","hagger2007aspects","Hagger, Martin S and Anderson, Melissa and Kyriakaki, Maria and Darkings, Sandra","Aspects of identity and their influence on intentional behavior: Comparing effects for three health behaviors","2007","personal"
"301","excluded"," “ the workrelated messages I post reflect my personality”","van2014understanding","van Zoonen, Ward and Verhoeven, Joost WM and Elving, Wim JL","Understanding work-related social media use: An extension of theory of planned behavior","2014","personal"
"343","excluded"," Personally, I cannot help to slow down environmental deterioration. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","personal"
"164","excluded","“I feel that I have a responsibility to buy organic foods to improve the health of the environment.”","2002-01478-00120010301","Bissonnette, Madeline Monaco and Contento, Isobel R.","Adolescents' perspectives and food choice behaviors in terms of the environmental impacts of food production practices: Application of a psychosocial model.","2001","responsibility"
"24","excluded"," In the present research, participants were asked to consider their identity, in terms of personal characteristics, social roles, and group memberships, and were asked to rate the identity appropriateness of binge drinking with these identities in mind. ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","role"
"216","excluded"," For me, . . . will not assist in fulfilling my role as a student enrolled in PYB110 ","2011-19081-00920110601","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011","role"
"218","excluded"," To what extent do you think that . . . is a significant part of your role as a student enrolled in PYB110? ","2011-19081-00920110601","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011","role"
"222","excluded","To what extent do you think that attending every peer-assisted study session for 1st-year statistics this semester is a significant part of your role as a student enrolled in bachelor of social science (psychology)? ","2008-12902-00520080801","White, Katherine M. and Thomas, Ian and Johnston, Kim L. and Hyde, Melissa K.","Predicting attendance at peer-assisted study sessions for statistics: Role identity and the theory of planned behavior.","2008","role"
"225","excluded"," “For me, attending every peer-assisted study session for 1st-year statistics this semester will not assist in fulfilling my role as a student enrolled in bachelor of social science (psychology)” ","2008-12902-00520080801","White, Katherine M. and Thomas, Ian and Johnston, Kim L. and Hyde, Melissa K.","Predicting attendance at peer-assisted study sessions for statistics: Role identity and the theory of planned behavior.","2008","role"
"304","excluded"," general role identity as: ","white2017identity","White, Katherine M and Poulsen, Brooke E and Hyde, Melissa K","Identity and personality influences on donating money, time, and blood","2017","roleIdentity"
"20","excluded"," ‘To what extent do you agree that drinking double the recommended limit or more than this on any one occasion in the next two weeks is something that you should do?’ (very strongly disagree [1] to very strongly agree [7]) ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","should"
"340","excluded"," A substantial amount of money should be devoted to environmental protection. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","should"
"342","excluded"," Green issues should not be a main consideration when deciding what we do in the future. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","should"
"40","excluded"," My consumption is identical with my values. ","2014-14302-00820140501","Oh, Jong-Chul and Yoon, Sung-Joon","Theory-based approach to factors affecting ethical consumption.","2014","values"
"277","excluded"," ‘‘My personal values and moral standards’’ ","hagger2007aspects","Hagger, Martin S and Anderson, Melissa and Kyriakaki, Maria and Darkings, Sandra","Aspects of identity and their influence on intentional behavior: Comparing effects for three health behaviors","2007","values"
"130","excluded","“I use MMS to express my personal values.” ","2007-12553-00220070901","Thorbjørnsen, Helge and Pedersen, Per E. and Nysveen, Herbjørn","'This is who I am': Identity expressiveness and the theory of planned behavior.","2007","express"
"131","excluded"," “I use MMS to express who I want to be.” ","2007-12553-00220070901","Thorbjørnsen, Helge and Pedersen, Per E. and Nysveen, Herbjørn","'This is who I am': Identity expressiveness and the theory of planned behavior.","2007","express"
"132","excluded"," “Using mobileservices like MMS is part of how I express my personality.”","2007-12553-00220070901","Thorbjørnsen, Helge and Pedersen, Per E. and Nysveen, Herbjørn","'This is who I am': Identity expressiveness and the theory of planned behavior.","2007","express"
"233","excluded"," ""Participation in physical activities is a way I express myself.""","2006-03688-01020051201","Tsorbatzoudis, Haralambos","Evaluation of a school-based intervention programme to promote physical activity: An application of the theory of planned behavior.","2005","express"
"300","excluded","“ I use work-related messages on social media to express personal values” ","van2014understanding","van Zoonen, Ward and Verhoeven, Joost WM and Elving, Wim JL","Understanding work-related social media use: An extension of theory of planned behavior","2014","express"
"366","excluded"," ""Participation in physical activities is a way I express myself.""","tsorbatzoudis2005evaluation","Tsorbatzoudis, Haralambos","Evaluation of a school-based intervention programme to promote physical activity: an application of the theory of planned behavior","2005","express"
"22","excluded"," no additional references concerning the self-identity scale ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","self"
"23","excluded"," definition self-identity ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","self"
"25","excluded"," they also mention it like this: However, standard attitude measures may not fully capture the motivational aspects of identity which impact on behaviouralintentions; thus,self-identity may have an independent predictive capacity in addition to an indirect effect on intentions via attitudes. considerations ","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","self"
"30","excluded","‘The idea of participating in the [target behavior] to commercialize my research does not fit my self-concept’’ ","2014-50754-00120151201","Obschonka, Martin and Silbereisen, Rainer K. and Cantner, Uwe and Goethner, Maximilian","Entrepreneurial self-identity: Predictors and effects within the theory of planned behavior framework.","2015","self"
"66","excluded","self-identity as a binge-drinker ","2012-18108-00920120901","Gardner, Benjamin and de Bruijn, Gert-Jan and Lally, Phillippa","Habit, identity, and repetitive action: A prospective study of binge-drinking in UK students.","2012","self"
"264","excluded","‘‘The idea of participating in the [target behavior] to commercialize my research…’’; Item 1: ‘‘…does not fit my self-concept’’ ","obschonka2015entrepreneurial","Obschonka, Martin and Silbereisen, Rainer K and Cantner, Uwe and Goethner, Maximilian","Entrepreneurial self-identity: predictors and effects within the theory of planned behavior framework","2015","self"
"285","excluded"," “Being a healthy/fruit/vegetable eater is a central factor to my self-concept.”","jenkins2015motivating","JENKINS, Amy","Motivating Fruit and Vegetable Consumption Using Self-Identity","2015","self"
"374","excluded"," (3) is how I perceive myself ","verkooijen2013exercise","Verkooijen, Kirsten T and de Bruijn, Gert-Jan","Exercise self-identity: Interactions with social comparison and exercise behaviour","2013","self"
"80","feelAtALoss"," I would feel at a loss if could not donate blood.","2012-99050-32020120101","Lu, Jia","Predicting blood donations among college students as a strategy to design voluntary blood donation campaigns in China.","2012","feelAtALoss"
"118","feelAtALoss"," ‘I would feel upset if I was not able to breastfeed’ ","2008-12608-00220081001","McMillan, Brian and Conner, Mark and Woolridge, Mike and Dyson, Lisa and Green, Josephine and Renfrew, Mary and Bharj, Kuldip and Clarke, Graham","Predicting breastfeeding in women living in areas of economic hardship: Explanatory role of the theory of planned behaviour.","2008","feelAtALoss"
"128","feelAtALoss"," “I would feel lostwithout using my mobile phone” ","2007-15018-01020071001","Walsh, Shari P. and White, Katherine M.","Me, my mobile, and I: The role of self- and prototypical identity influences in the prediction of mobile phone behavior.","2007","feelAtALoss"
"137","feelAtALoss"," ‘‘I would feel that I missed out on something if I didn’t smoke’’","2006-21750-00220061201","Moan, Inger Synnøve and Rise, Jostein","Predicting smoking reduction among adolescents using an extended version of the theory of planned behaviour.","2006","feelAtALoss"
"161","feelAtALoss"," “I would feel a loss if I were forced to give up donating blood” ","2003-04231-00720010701","Armitage, Christopher J. and Conner, Mark","Social cognitive determinants of blood donation.","2001","feelAtALoss"
"172","feelAtALoss"," `I would feel at a loss if were forced to give up household recycling ’","1999-11872-00119990901","Terry, Deborah J. and Hogg, Michael A. and White, Katherine M.","The theory of planned behaviour: Self-identity, social identity and group norms.","1999","feelAtALoss"
"174","feelAtALoss"," “I would feel a loss if I were forced to give up drinking alcohol” ","1999-15251-00519990801","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999","feelAtALoss"
"186","feelAtALoss"," ` I would feel at a loss if I were forced to give up using cannabis/marijuana’ ","1999-05902-00519990601","Conner, Mark and McMillan, Brian","Interaction effects in the theory of planned behavior: Studying cannabis use.","1999","feelAtALoss"
"231","feelAtALoss","""I would feel that I lost something, if I could not participate in physical activities for at least 3 times a week in the next 3 mo.,"" ","2006-03688-01020051201","Tsorbatzoudis, Haralambos","Evaluation of a school-based intervention programme to promote physical activity: An application of the theory of planned behavior.","2005","feelAtALoss"
"234","feelAtALoss","'I would feel that I would lose something, if I could not eat healthily for the next three months' ","2006-00523-03620051001","Tsorbatzoudis, Haralambos","Evaluation of a planned behavior theory-based intervention programme to promote healthy eating.","2005","feelAtALoss"
"241","feelAtALoss","""I would feel a loss, if I gave up exercising during the next two months"" ","1995-03809-00119940601","Theodorakis, Yannis","Planned behavior, attitude strength, role identity, and the prediction of exercise behavior.","1994","feelAtALoss"
"258","feelAtALoss"," I would feel a loss if I were forced to give up my dietary supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","feelAtALoss"
"281","feelAtALoss","‘‘I would feel at a loss if I were forced to give up my volunteering’’ ","veludo2013accounting","Veludo-de-Oliveira, Tania and Pallister, John G and Foxall, Gordon R","Accounting for sustained volunteering by young people: An expanded TPB","2013","feelAtALoss"
"293","feelAtALoss"," “I would feel at a loss if I were forced to give up exercising vigorously for at least 30 minutes 3 times per week over the next five weeks during leisure time” ","alselaimi2010using","Alselaimi, Abdullah","Using the Theory of Planned Behaviour to Investigate the Antecedents of Physical Activity Participation among Saudi Adolescents","2010","feelAtALoss"
"335","feelAtALoss"," “I would feel a loss if I were forced to give up donatingblood”","wevers2014return","Wevers, Anne and Wigboldus, Dani{\""e}l HJ and Baaren, Rick and Veldhuizen, Ingrid JT","Return behavior of occasional and multigallon blood donors: the role of theory of planned behavior, self-identity, and organizational variables","2014","feelAtALoss"
"364","feelAtALoss","""I would feel that I lost something, if I could not participate in physical activities for at least 3 times a week in the next 3 mo.,"" ","tsorbatzoudis2005evaluation","Tsorbatzoudis, Haralambos","Evaluation of a school-based intervention programme to promote physical activity: an application of the theory of planned behavior","2005","feelAtALoss"
"368","feelAtALoss"," “I would feel a loss if I were forced to give up drinking alcohol” ","conner1999alcohol","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behaviorid","1999","feelAtALoss"
"11","iAm","‘‘I am the sort of passenger who rides safely and carefully at every opportunity” ","2016-50443-00120161001","Wan, Xin and Schonfeld, Paul M. and Li, Qiming","What factors determine metro passengers’ risky riding behavior? An approach based on an extended theory of planned behavior.","2016","iAm"
"26","iAm"," it seems to violate our definition, as personal characters, social roles and group memberships seems to go to social identity, but I am not totally sure, motivational aspects have also not been considered before","2015-19168-00120160301","Case, Philippa and Sparks, Paul and Pavey, Louisa","Identity appropriateness and the structure of the theory of planned behaviour.","2016","iAm"
"45","iAm"," “I am typical of the sort of person who would …”","2014-07012-00420140101","Leyland, Sandra D. and van Wersch, Anna and Woodhouse, David","Testing an extended theory of planned behaviour to predict intention to participate in health-related exercise during long-distance flight travel.","2014","iAm"
"54","iAm","“I am the sort of rider who rides safely at every opportunity” ","2013-00602-01620121101","Tunnicliff, Deborah J. and Watson, Barry C. and White, Katherine M. and Hyde, Melissa K. and Schonfeld, Cynthia C. and Wishart, Darren E.","Understanding the factors influencing safe and unsafe motorcycle rider intentions.","2012","iAm"
"56","iAm"," “I am the sort of rider who takes risks at every opportunity” ","2013-00602-01620121101","Tunnicliff, Deborah J. and Watson, Barry C. and White, Katherine M. and Hyde, Melissa K. and Schonfeld, Cynthia C. and Wishart, Darren E.","Understanding the factors influencing safe and unsafe motorcycle rider intentions.","2012","iAm"
"73","iAm"," ‘‘Engaging in sufficient exercise is something that fits who I am’’ ","2012-11628-00820120701","de Bruijn, Gert-Jan and van den Putte, Bas","Exercise promotion: An integration of exercise self-identity, beliefs, intention, and behaviour.","2012","iAm"
"84","iAm"," ‘I am the type of the person who smokes’","2011-21791-00920110901","Hassandra, Mary and Vlachopoulos, Symeon P. and Kosmidou, Evdoxia and Hatzigeorgiadis, Antonis and Goudas, Marios and Theodorakis, Yiannis","Predicting students’ intention to smoke by theory of planned behaviour variables and parental influences across school grade levels.","2011","iAm"
"86","iAm","“Subsidised /non-subsidised nature conservation practices are part of who I am” ","2011-10645-00120110701","Lokhorst, Anne Marike and Staats, Henk and van Dijk, Jerry and van Dijk, Eric and de Snoo, Geert","What's in it for me? Motivational differences between farmers' subsidised and non-subsidised conservation practices.","2011","iAm"
"133","iAm","""Generally, I am the type who is going to teach multicultural classes,""","2007-13007-01120070601","Tsigilis, Nikolaos and Tsioumis, Konstantinos and Gregoriadis, Athanasios","Applicability of the planned behavior theory to attitudes of students in early childhood education toward teaching cutltually diverse classes: The role of self-identity.","2007","iAm"
"236","iAm"," 'Healthy eating is an expression of who I am'","2006-00523-03620051001","Tsorbatzoudis, Haralambos","Evaluation of a planned behavior theory-based intervention programme to promote healthy eating.","2005","iAm"
"280","iAm"," not important to my sense of who I am (1) and extremely important to my sense of who I am (5).","hagger2007aspects","Hagger, Martin S and Anderson, Melissa and Kyriakaki, Maria and Darkings, Sandra","Aspects of identity and their influence on intentional behavior: Comparing effects for three health behaviors","2007","iAm"
"318","iAm"," I am proud to use microcredits","jebarajakirthy2014war","Jebarajakirthy, Charles and Lobo, Antonio C","War affected youth as consumers of microcredit: an application and extension of the theory of planned behaviour","2014","iAm"
"329","iAm"," “Donating blood is a part of who I am”","masser2009predicting","Masser, Barbara M and White, Katherine M and Hyde, Melissa K and Terry, Deborah J and Robinson, Natalie G","Predicting blood donation intentions and behavior among Australian blood donors: testing an extended theory of planned behavior model","2009","iAm"
"373","iAm"," (2) fits who I am ","verkooijen2013exercise","Verkooijen, Kirsten T and de Bruijn, Gert-Jan","Exercise self-identity: Interactions with social comparison and exercise behaviour","2013","iAm"
"1","iAm","(“I am a healthy eater,” ","2017-06286-02920170201","Carfora, V. and Caso, D. and Conner, M.","Correlational study and randomised controlled trial for understanding and changing red meat consumption: The role of eating identities.","2017","iAmA"
"4","iAm"," “I am meat eater,” ","2017-06286-02920170201","Carfora, V. and Caso, D. and Conner, M.","Correlational study and randomised controlled trial for understanding and changing red meat consumption: The role of eating identities.","2017","iAmA"
"6","iAm"," “I am a junk food eater”","2017-06286-02920170201","Carfora, V. and Caso, D. and Conner, M.","Correlational study and randomised controlled trial for understanding and changing red meat consumption: The role of eating identities.","2017","iAmA"
"10","iAm","“I am a microblog user”, ranging from 1 = strongly disagree to 7 = strongly agree).","2016-45315-07620161101","Jiang, Caihong and Zhao, Wenguo and Sun, Xianghong and Zhang, Kan and Zheng, Rui and Qu, Weina","The effects of the self and social identity on the intention to microblog: An extension of the theory of planned behavior.","2016","iAmA"
"228","iAm"," a person who teaches dance’ ","2007-07467-00320070401","Chedzoy, S. M. and Burden, R. L.","What can psychology tell us about teaching dance? The potential contribution of Ajzen's Theory of Planned Behavior.","2007","iAmA"
"322","iAm","‘I am a non-smoker’ ","karimy2012intention","Karimy, Mahmood and Niknami, Shamsaddin and Hidarnia, Ali Reza and Hajizadeh, Ibrahim","Intention to start cigarette smoking among Iranian male adolescents: usefulness of an extended version of the theory of planned behaviour","2012","iAmA"
